dialogue,person_scene,series,episode,episode_name_only
" If you’re not into this, we can do it another time.",Leonard,9.0,1.0,The Matrimonial Momentum
 Whatever. Put us on the Internet. I’ve always wanted a wedding with a comment section.,Penny,9.0,1.0,The Matrimonial Momentum
" ‘Cause there’s a lot of gorgeous blondes out there who don’t believe they can land a short, nearsighted scientist. Let’s give them hope.",Leonard,9.0,1.0,The Matrimonial Momentum
 Why would we want that?,Penny,9.0,1.0,The Matrimonial Momentum
 I didn’t want to come in. I was told it would make everyone feel uncomfortable. So I’ll just stay out here and pretend that I don’t have to go to the bathroom.,Sheldon,9.0,1.0,The Matrimonial Momentum
" For God’s sake, Sheldon, what are you doing?",Bernadette,9.0,1.0,The Matrimonial Momentum
" Hey, it’s a true story. I don’t need the third degree.",Stuart,9.0,1.0,The Matrimonial Momentum
 Oh. What was her name?,Amy,9.0,1.0,The Matrimonial Momentum
" I know what you’re going through. My, my, my last breakup was pretty tough.",Stuart,9.0,1.0,The Matrimonial Momentum
 I’m not saying anything bad. Just that she was in love with her captor and somehow managed to escape from his dark and crazy dungeon.,Howard,9.0,1.0,The Matrimonial Momentum
 Howard.,Bernadette,9.0,1.0,The Matrimonial Momentum
" Well, that’s understandable. You forgot. It’s called happy.",Howard,9.0,1.0,The Matrimonial Momentum
" We were together for so long, I honestly don’t know what I’m feeling.",Amy,9.0,1.0,The Matrimonial Momentum
 Our pleasure. You feeling okay?,Bernadette,9.0,1.0,The Matrimonial Momentum
 Thank you for doing this.,Amy,9.0,1.0,The Matrimonial Momentum
 Howard and Bernadette’s House.,Scene,9.0,1.0,The Matrimonial Momentum
 Who wants hot cinnamon rolls?,Raj,9.0,1.0,The Matrimonial Momentum
" They didn’t invite everybody but you.Bernadette invited me, and Stuart lives here.",Amy,9.0,1.0,The Matrimonial Momentum
 I see. And is that why everybody was invited but me?,Sheldon,9.0,1.0,The Matrimonial Momentum
" Sheldon, you being here might not be making things better.",Amy,9.0,1.0,The Matrimonial Momentum
 I’m on it.,Howard,9.0,1.0,The Matrimonial Momentum
" Howard, do something.",Bernadette,9.0,1.0,The Matrimonial Momentum
" Oh, my God, would you stop bringing it up?",Penny,9.0,1.0,The Matrimonial Momentum
 And you promise you’re okay with everything from the car?,Leonard,9.0,1.0,The Matrimonial Momentum
 Yes.,Penny,9.0,1.0,The Matrimonial Momentum
 You sure?,Leonard,9.0,1.0,The Matrimonial Momentum
" Me, too.",Penny,9.0,1.0,The Matrimonial Momentum
" I don’t think the strippers prepare the meal, but okay. Look, it’s not how I pictured it either, but I’m still glad we’re doing it.",Leonard,9.0,1.0,The Matrimonial Momentum
" Thanks, but I don’t like glitter on my scrambled eggs.",Penny,9.0,1.0,The Matrimonial Momentum
" Hey, if you’re hungry, there’s a breakfast buffet at the strip club next door.",Leonard,9.0,1.0,The Matrimonial Momentum
" Sheldon, when I’m ready to talk, I’ll let you know.",Amy,9.0,1.0,The Matrimonial Momentum
" No. No, I want to. Look, we’ve put this off long enough. Let’s do it.",Penny,9.0,1.0,The Matrimonial Momentum
" Before I go any further, have either of you prepared your own vows?",Official,9.0,1.0,The Matrimonial Momentum
 The Wedding Chapel.,Scene,9.0,1.0,The Matrimonial Momentum
 At least you got picked.,Stuart,9.0,1.0,The Matrimonial Momentum
 Really?,Raj,9.0,1.0,The Matrimonial Momentum
" Fine, I guess I’m stuck with Raj.",Sheldon,9.0,1.0,The Matrimonial Momentum
 I’m not taking sides.,Howard,9.0,1.0,The Matrimonial Momentum
" I see what’s happening. Sides are forming. Well, if Bernadette’s on Amy’s team, I pick Howard.",Sheldon,9.0,1.0,The Matrimonial Momentum
" Sheldon, shh. The wedding’s starting.",Bernadette,9.0,1.0,The Matrimonial Momentum
 You hear that? Raj is devastated.,Sheldon,9.0,1.0,The Matrimonial Momentum
 I’m sure you guys will figure something out.,Raj,9.0,1.0,The Matrimonial Momentum
 I said I needed time to think.,Amy,9.0,1.0,The Matrimonial Momentum
" Well, you should know that she recently broke up with me.",Sheldon,9.0,1.0,The Matrimonial Momentum
 Didn’t even crack the top ten.,Raj,9.0,1.0,The Matrimonial Momentum
" Raj, you’re probably wondering why Amy and I aren’t showing any affection to one another.",Sheldon,9.0,1.0,The Matrimonial Momentum
