dialogue,person_scene,series,episode,episode_name_only
" On the deck of a ship on the North Sea, in the middle of a storm. Leonard is on a sat-phone.",Scene,7.0,1.0,The Hofstadter Insufficiency
 It was better when you couldn’t talk to women.,Howard,7.0,1.0,The Hofstadter Insufficiency
 The hotel bar.,Scene,7.0,1.0,The Hofstadter Insufficiency
 I was thinking of going to the lecture on posterior cingulate cortex lesions in the formation of autobiographical memory.,Bernadette,7.0,1.0,The Hofstadter Insufficiency
" Oh, brain lesions are fascinating. Unless they’re yours, then they’re a drag.",Amy,7.0,1.0,The Hofstadter Insufficiency
 To the advancement of science.,Bernadette,7.0,1.0,The Hofstadter Insufficiency
 And to the sick and dying who make it possible.,Amy,7.0,1.0,The Hofstadter Insufficiency
" This is fun, we never really get to talk shop with Penny around. We usually just end up talking about boys.",Bernadette,7.0,1.0,The Hofstadter Insufficiency
" Which is fine, but it’s nice to mix it up with a little intellectual conversation.",Amy,7.0,1.0,The Hofstadter Insufficiency
 From the two gentlemen at the bar.,Waiter,7.0,1.0,The Hofstadter Insufficiency
" Oh, my gosh, boys bought us drinks, boys bought us drinks. Thank you, thank you, thank you so much.",Amy,7.0,1.0,The Hofstadter Insufficiency
 Be cool.,Bernadette,7.0,1.0,The Hofstadter Insufficiency
" You be cool. Guys are hitting on us, and not just to get to Penny.",Amy,7.0,1.0,The Hofstadter Insufficiency
 You’re right. Thank you.,Bernadette,7.0,1.0,The Hofstadter Insufficiency
 The apartment.,Scene,7.0,1.0,The Hofstadter Insufficiency
 Ooh. Bad move.,Sheldon,7.0,1.0,The Hofstadter Insufficiency
 Really? Why?,Penny,7.0,1.0,The Hofstadter Insufficiency
 My queen can now take your rook from below.,Sheldon,7.0,1.0,The Hofstadter Insufficiency
" So that means I lose, right? It’s over?",Penny,7.0,1.0,The Hofstadter Insufficiency
" If I make this move, but I won’t because we’re having too much fun.",Sheldon,7.0,1.0,The Hofstadter Insufficiency
" Okay, let’s take a break. ",Penny,7.0,1.0,The Hofstadter Insufficiency
 We’re all out of alcohol.,Sheldon,7.0,1.0,The Hofstadter Insufficiency
" I wasn’t going to get alcohol. Gosh, I wonder what Leonard’s doing right now. I miss him so much.",Penny,7.0,1.0,The Hofstadter Insufficiency
" Well, if you’d like, we could call him. I mean that you could call him. As I’ve explained, the absence of my friends does not cause me pain. As rock and roll bad boy Paul Simon once said, I am a rock, I am an i-i-i-island.",Sheldon,7.0,1.0,The Hofstadter Insufficiency
 I’m calling him.,Penny,7.0,1.0,The Hofstadter Insufficiency
" Oh, goodie, put him on speaker phone.",Sheldon,7.0,1.0,The Hofstadter Insufficiency
" Excuse me, ladies, my pants are buzzing. North Sea, how can I kelp you?",dancing),7.0,1.0,The Hofstadter Insufficiency
 Leonard?,Penny,7.0,1.0,The Hofstadter Insufficiency
" Penny? Hey, it’s Penny. Everybody say hi to Penny.",Leonard,7.0,1.0,The Hofstadter Insufficiency
" Hi, Penny!",Everybody,7.0,1.0,The Hofstadter Insufficiency
" Wow, it sounds like you’re having a good time.",Penny,7.0,1.0,The Hofstadter Insufficiency
 Best time of my life. ,Leonard,7.0,1.0,The Hofstadter Insufficiency
 Isn’t it five thirty in the morning there?,Sheldon,7.0,1.0,The Hofstadter Insufficiency
" Is it? Hey, everybody, it’s five thirty in the morning!",Leonard,7.0,1.0,The Hofstadter Insufficiency
" Uh, okay, well, we were just calling you because we were missing you.",Penny,7.0,1.0,The Hofstadter Insufficiency
 Iceberg!,voice,7.0,1.0,The Hofstadter Insufficiency
" Uh-oh, hang on.",Leonard,7.0,1.0,The Hofstadter Insufficiency
 Are you in danger?,Sheldon,7.0,1.0,The Hofstadter Insufficiency
" No, it’s a drinking game. Whenever we see an iceberg, we take a shot!",Leonard,7.0,1.0,The Hofstadter Insufficiency
 Berg! Berg! Berg! Berg! Berg! Berg!,Everybody,7.0,1.0,The Hofstadter Insufficiency
