dialogue,person_scene,series,episode,episode_name_only
" That sounds like sarcasm, but I’m going to disregard it, because I have an agenda. Paintball. Specifically, the interdepartmental tournament this weekend. Now, in order to function better as a fighting unit, I thought we should establish a chain of command. Now, it goes without saying that I would outrank the three of you, but the question remains, by how much? Now, I don’t see me as some four-star general, back at HQ riding a desk and playing golf with the Secretary of Defence. But I also can’t be Sergeant Cooper, because that might lead you to think of me as just a regular Joe. This might take some thought. As you were.",Sheldon,5.0,1.0,The Skank Reflex Analysis
 What the hell is wrong with you?,Leonard,5.0,1.0,The Skank Reflex Analysis
" Yeah, how could you do that?",Howard,5.0,1.0,The Skank Reflex Analysis
 What is it to you?,Raj,5.0,1.0,The Skank Reflex Analysis
 I got his back.,Howard,5.0,1.0,The Skank Reflex Analysis
" Yeah, right. You’re just jealous because it turns out I’m Penny’s number two choice after Leonard.",Raj,5.0,1.0,The Skank Reflex Analysis
 I’m sorry.,Raj,5.0,1.0,The Skank Reflex Analysis
" Damn right, you’re sorry. And you tell Howard there’s never been anything between us.",Bernadette,5.0,1.0,The Skank Reflex Analysis
 That’s so nice.,Leonard,5.0,1.0,The Skank Reflex Analysis
" And we’re back to the obvious. Now, what’s up?",Hofstadter,5.0,1.0,The Skank Reflex Analysis
" Well, uh, okay, um, I don’t want to get back together with Penny. We tried it, it was crazy, it didn’t work, but I can’t deal with the fact that she slept with my friend Raj. And then I find out that Raj’s sister Priya, who I’ve been going out with for eight months, is moving back to India. So I’m just completely confused and alone.",Leonard,5.0,1.0,The Skank Reflex Analysis
 I understand.,Hofstadter,5.0,1.0,The Skank Reflex Analysis
 Got any advice?,Leonard,5.0,1.0,The Skank Reflex Analysis
 Yes. Buck up.,Hofstadter,5.0,1.0,The Skank Reflex Analysis
" Excuse me. You’re a world-renowned expert in parenting and child development, and all you’ve got is buck up?",Leonard,5.0,1.0,The Skank Reflex Analysis
" Sorry. Buck up, sissy pants.",Hofstadter,5.0,1.0,The Skank Reflex Analysis
" Thanks, Mother. I feel much better.",Leonard,5.0,1.0,The Skank Reflex Analysis
" If you need any more help from me, my books are available on Amazon. Logging off.",Hofstadter,5.0,1.0,The Skank Reflex Analysis
 Amy’s apartment. Amy is brushing Penny’s hair.,Scene,5.0,1.0,The Skank Reflex Analysis
" Ninety-nine, one hundred. It’s like a waterfall of liquid gold. My turn.",Amy,5.0,1.0,The Skank Reflex Analysis
" You know, I don’t even know what the point of me staying in L.A. is. I haven’t gotten a single acting job since I moved out here. The closest I came was last month, I got a callback for a hemorrhoid commercial.",Penny,5.0,1.0,The Skank Reflex Analysis
" Oh, I could so see you being the face of haemorrhoids.",Amy,5.0,1.0,The Skank Reflex Analysis
" I know, right? Maybe I should just move back to Nebraska.",Penny,5.0,1.0,The Skank Reflex Analysis
" No, I can’t let you do that.",Amy,5.0,1.0,The Skank Reflex Analysis
 Why not? (There is a knock on the door),Penny,5.0,1.0,The Skank Reflex Analysis
" For the first time ever, I have a thriving social life. And no pressure, but it kind of lives and dies with you.",Amy,5.0,1.0,The Skank Reflex Analysis
" Hi, Amy. Can I talk to Penny?",Raj,5.0,1.0,The Skank Reflex Analysis
 A guest in my trundle bed and a boy at my door? I wish I could tell 13-year-old me it does get better.,Amy,5.0,1.0,The Skank Reflex Analysis
 How did you know I was here?,Penny,5.0,1.0,The Skank Reflex Analysis
