dialogue,person_scene,series,episode,episode_name_only
" Oh, yeah, you know what, maybe we should just slow things down a little.",Penny,2.0,1.0,The Bad Fish Paradigm
" No, no, I didn’t mean to go into your apartment to… go fast. ",Leonard,2.0,1.0,The Bad Fish Paradigm
" No, I know, I… I know what you meant, it’s just… it’s only our first date.",Penny,2.0,1.0,The Bad Fish Paradigm
" Yeah, okay, sure, no problem, why don’t we just figure out where we’re going, and when we want to get there, and then rate of speed equals distance over time. Solve for R.",Leonard,2.0,1.0,The Bad Fish Paradigm
 Or we could just wing it. ,Penny,2.0,1.0,The Bad Fish Paradigm
 That might work too. ,Leonard,2.0,1.0,The Bad Fish Paradigm
 Goodnight Leonard.,Penny,2.0,1.0,The Bad Fish Paradigm
 Goodnight. (He throws the camera a dirty look.) ,Leonard,2.0,1.0,The Bad Fish Paradigm
 He’s coming. Screen saver. ,Raj,2.0,1.0,The Bad Fish Paradigm
" Oh, good Lord. Why don’t you just take your clothes down to the river and beat them with a rock? ",Sheldon,2.0,1.0,The Bad Fish Paradigm
" Well, yeah. ",Penny,2.0,1.0,The Bad Fish Paradigm
" Interesting. See, one more question, and perhaps I should have led with this, when did we become friends? ",Sheldon,2.0,1.0,The Bad Fish Paradigm
 The stairwell.,Scene,2.0,1.0,The Bad Fish Paradigm
" I.e, I couldn’t become Green Lantern unless I was chosen by the guardians of Oa, but given enough start-up capital and an adequate research facility, I could be Batman.",Sheldon,2.0,1.0,The Bad Fish Paradigm
 You could be Batman?,Leonard,2.0,1.0,The Bad Fish Paradigm
 Sure. (In a gravelly voice) I’m Batman. See.,Sheldon,2.0,1.0,The Bad Fish Paradigm
 Hi guys.,(arriving),2.0,1.0,The Bad Fish Paradigm
 Hey.,Leonard,2.0,1.0,The Bad Fish Paradigm
 Hi Penny.,uncomfortably),2.0,1.0,The Bad Fish Paradigm
" Hey, Penny, if you’re not doing anything Friday night I thought maybe we could go and see a movie. ",Leonard,2.0,1.0,The Bad Fish Paradigm
" Oh, um, you know, I think I have the dinner shift on Friday.",Penny,2.0,1.0,The Bad Fish Paradigm
 What about Saturday?,Leonard,2.0,1.0,The Bad Fish Paradigm
" You know, I’m not sure, the manager hasn’t posted the schedule yet, how about I let you know.",Penny,2.0,1.0,The Bad Fish Paradigm
" Great. So you just let me know when you know. So… (she leaves) Oh God, I am the bad fish! What did I do wrong?",Leonard,2.0,1.0,The Bad Fish Paradigm
" Why are you asking me, I have no information about your interactions with Penny other than what you provided me, nor do I have any method of learning such things. (Runs away.) ",Sheldon,2.0,1.0,The Bad Fish Paradigm
 What does that mean?,him),2.0,1.0,The Bad Fish Paradigm
 Nothing. You seem to be implying an informational back channel between me and Penny where obviously none exists.,Sheldon,2.0,1.0,The Bad Fish Paradigm
 No I didn’t.,Leonard,2.0,1.0,The Bad Fish Paradigm
" I just think you need to be careful how you phrase things, sir. ",Sheldon,2.0,1.0,The Bad Fish Paradigm
 What’s going on with you?,Leonard,2.0,1.0,The Bad Fish Paradigm
 Well I might ask you the same question. Why do you insist on attempting to drag me into matters which have nothing to do with me? But exist between you and Penny. A person to whom I barely speak. (His eye begins to twitch.) ,Sheldon,2.0,1.0,The Bad Fish Paradigm
 What’s wrong with your face? ,Leonard,2.0,1.0,The Bad Fish Paradigm
" There’s no reason to bring my looks into this. Good day, Leonard.",Sheldon,2.0,1.0,The Bad Fish Paradigm
 What? ,Leonard,2.0,1.0,The Bad Fish Paradigm
 I said Good Day! (He leaves),Sheldon,2.0,1.0,The Bad Fish Paradigm
 Good day? ,Leonard,2.0,1.0,The Bad Fish Paradigm
 The Cheesecake Factory,Scene,2.0,1.0,The Bad Fish Paradigm
" Also today we have a fresh caught Alaska salmon, and that’s served with a teriyaki glaze and sticky rice. Our soup of the day…",Penny,2.0,1.0,The Bad Fish Paradigm
 You must release me from my oath. ,her),2.0,1.0,The Bad Fish Paradigm
" Sheldon, I’m working.",Penny,2.0,1.0,The Bad Fish Paradigm
 Why don’t you take a minute to decide (leads her away) I can’t keep your secret Penny. I’m going to fold like an energy based anobo protein in conformational space. Like a renaissance triptych. Like a cheap suit.,Sheldon,2.0,1.0,The Bad Fish Paradigm
" Oh, look, why is it so hard for you to keep one little secret?",Penny,2.0,1.0,The Bad Fish Paradigm
" I’m constitutionally incapable. That’s why I was refused clearance for a very prestigious government research fellowship at a secret military supercollider, located beneath a fake agricultural station 12.5 miles south east of Travers City, Michigan. Which you did not hear about from me. ",Sheldon,2.0,1.0,The Bad Fish Paradigm
" Look, just forget I told you about me not graduating from community college. Okay?",Penny,2.0,1.0,The Bad Fish Paradigm
 Forget! You want me to forget? This mind does not forget. I haven’t forgotten a single thing since the day my mother stopped breast feeding me. It was a drizzly Tuesday.,Sheldon,2.0,1.0,The Bad Fish Paradigm
" Okay, look, you promised me you would keep my secret so you’re just going to have to figure out a way to do it.",Penny,2.0,1.0,The Bad Fish Paradigm
 The apartment.,Scene,2.0,1.0,The Bad Fish Paradigm
" Leonard, I’m moving out. ",(entering),2.0,1.0,The Bad Fish Paradigm
" What do you mean, you’re moving out? Why? ",Leonard,2.0,1.0,The Bad Fish Paradigm
