dialogue,person_scene,series,episode,episode_name_only
 The Comic Book Store.,Scene,6.0,1.0,The Date Night Variable
" So, Howard’s really in space, huh?",Stuart,6.0,1.0,The Date Night Variable
 Tell him yourself.,Sheldon,6.0,1.0,The Date Night Variable
 Yoo-hoo! Over here!,Raj,6.0,1.0,The Date Night Variable
 I don’t understand. What’s he doing here?,Amy,6.0,1.0,The Date Night Variable
 I invited him.,Sheldon,6.0,1.0,The Date Night Variable
" On our date? Sheldon, that’s not okay.",Amy,6.0,1.0,The Date Night Variable
" Yes, it is. There’s a loophole in the Relationship Agreement.",Sheldon,6.0,1.0,The Date Night Variable
 You found a loophole?,Amy,6.0,1.0,The Date Night Variable
 Sorry I started without you. I’m a little nervous. It’s been a long time since I’ve been on a date.,Raj,6.0,1.0,The Date Night Variable
 I can’t believe I bleached my moustache for this.,Amy,6.0,1.0,The Date Night Variable
 You should go to my girl. She’ll knock out those sideburns for free.,Raj,6.0,1.0,The Date Night Variable
" You know, Amy, I don’t even think you and I have had a real conversation. Let’s use tonight to get to know each other a little better. You start.",Raj,6.0,1.0,The Date Night Variable
 Go home.,Amy,6.0,1.0,The Date Night Variable
 I don’t understand.,Raj,6.0,1.0,The Date Night Variable
" Sheldon, how could you do this? It’s our second anniversary.",Amy,6.0,1.0,The Date Night Variable
" It’s your anniversary? Oh, my God, I had no idea. Amy, please, let me make this right. ",Raj,6.0,1.0,The Date Night Variable
 Thank you.,Amy,6.0,1.0,The Date Night Variable
" My pleasure. Waiter? A bottle of champagne and three glasses. Oh, boy, isn’t this romantic?",Raj,6.0,1.0,The Date Night Variable
" Oh, I hope that’s a rhetorical question, because I have no clue.",Sheldon,6.0,1.0,The Date Night Variable
 The apartment. ,Scene,6.0,1.0,The Date Night Variable
 This is great. What’s the occasion?,Penny,6.0,1.0,The Date Night Variable
" No occasion. You know, things have been a little weird between us, so I wanted to throw together a fun night just for you.",Leonard,6.0,1.0,The Date Night Variable
 That is so sweet.,Penny,6.0,1.0,The Date Night Variable
" I got all your favourites. Beer, wings, sliders. We can watch the football game. I even painted my stomach.",Leonard,6.0,1.0,The Date Night Variable
 Go Sports?,Penny,6.0,1.0,The Date Night Variable
" Well, in case you were in the mood for baseball, I didn’t want to look ridiculous.",Leonard,6.0,1.0,The Date Night Variable
 This is awesome. I love it!,Penny,6.0,1.0,The Date Night Variable
" Good, I’m glad. ",Leonard,6.0,1.0,The Date Night Variable
" Gosh, I worked my ass off today. This is exactly what I needed.",Penny,6.0,1.0,The Date Night Variable
 Great. Just relax and enjoy. Tonight is all about you.,Leonard,6.0,1.0,The Date Night Variable
" Ah, thank you!",Penny,6.0,1.0,The Date Night Variable
" So, where exactly are we in this relationship?",Leonard,6.0,1.0,The Date Night Variable
" Oh, come on. I just told you I had a hard day.",Penny,6.0,1.0,The Date Night Variable
" You’re right, I’m sorry. Let’s watch the game. ",Leonard,6.0,1.0,The Date Night Variable
 Great.,Penny,6.0,1.0,The Date Night Variable
" I just know the longer we wait to talk about it, the weirder it gets.",Leonard,6.0,1.0,The Date Night Variable
" Sweetie, can I just be the girl tonight?",Penny,6.0,1.0,The Date Night Variable
" Absolutely. You’re the girl, I’m the guy. Now, you watch your football game while I make you a little plate here.",Leonard,6.0,1.0,The Date Night Variable
 Thank you. (Knock on door),Penny,6.0,1.0,The Date Night Variable
" Oh, I’ll get it. Go sports.",Leonard,6.0,1.0,The Date Night Variable
 Hello-lo-lo.,Raj,6.0,1.0,The Date Night Variable
 What are you doing here? I thought you were out with Sheldon and Amy.,Leonard,6.0,1.0,The Date Night Variable
" I was, but it’s their anniversary and I didn’t want to be a third wheel, so I figured I’d come over here and hang out with you and Penny on your date.",Raj,6.0,1.0,The Date Night Variable
" Well, it’s not really a great time. Penny and I have some things we need to talk about.",Leonard,6.0,1.0,The Date Night Variable
" No, we don’t! Come on in!",Penny,6.0,1.0,The Date Night Variable
 Sweet!,Raj,6.0,1.0,The Date Night Variable
 I can’t believe I shaved my stomach for this.,Leonard,6.0,1.0,The Date Night Variable
 The International Space Station,Scene,6.0,1.0,The Date Night Variable
" Hey, Froot Loops. You got a phone call.",Dimitri,6.0,1.0,The Date Night Variable
 Who is it?,Howard,6.0,1.0,The Date Night Variable
 A woman who says she’s your mother but sounds like your father.,Dimitri,6.0,1.0,The Date Night Variable
" Hey, Ma. You know, we could see each other if you turn on the computer.",Howard,6.0,1.0,The Date Night Variable
 I’m not going near that fakakta thing. I’ll catch a computer virus.,(off),6.0,1.0,The Date Night Variable
 You can’t catch a computer virus.,Howard,6.0,1.0,The Date Night Variable
" Oh, so now you’re an astronaut and a doctor?",(off),6.0,1.0,The Date Night Variable
" What do you want, Ma?",Howard,6.0,1.0,The Date Night Variable
 Your wife says you have something important to tell me.,(off),6.0,1.0,The Date Night Variable
" Okay, here it is. Bernadette and I are starting a life together and…",Howard,6.0,1.0,The Date Night Variable
" Oh, God! You are gonna leave me.",(off),6.0,1.0,The Date Night Variable
 Ma…,Howard,6.0,1.0,The Date Night Variable
" It’s okay. Your father left me, you left me, I guess I’m just the kind of person people like to leave.",(off),6.0,1.0,The Date Night Variable
 It’s not definite. I’ll talk to Bernadette.,Howard,6.0,1.0,The Date Night Variable
 Don’t bother. I’ll just go sit in a hole in the ground so I’m no trouble when I die.,(off),6.0,1.0,The Date Night Variable
" Stop it, Ma. I’m sure I can get Bernie to come around.",Howard,6.0,1.0,The Date Night Variable
" I knew it. I knew she was behind this. You listen to me, if you want to be a man you can’t let a woman tell you what to do.",(off),6.0,1.0,The Date Night Variable
" Okay, okay.",Howard,6.0,1.0,The Date Night Variable
 Oy. I can’t believe these people won the Cold War.,Dimitri,6.0,1.0,The Date Night Variable
" Now, can we please change the subject?",Howard,6.0,1.0,The Date Night Variable
 Fine. Explain why you’ve been gone so long and I haven’t gotten a single letter. Not even a lousy postcard.,(off),6.0,1.0,The Date Night Variable
 The apartment.,Scene,6.0,1.0,The Date Night Variable
" You know, I’m growing to like American football. ",Raj,6.0,1.0,The Date Night Variable
" Yeah, it’s fun, isn’t it?",Penny,6.0,1.0,The Date Night Variable
" Well, it’s not the balls-to-the-wall action of badminton or cricket, but hey, what is?",Raj,6.0,1.0,The Date Night Variable
" All right, who’s ready for another beer?",Penny,6.0,1.0,The Date Night Variable
 I’m good.,Leonard,6.0,1.0,The Date Night Variable
" No, thank you.",Raj,6.0,1.0,The Date Night Variable
 Girls.,Penny,6.0,1.0,The Date Night Variable
" Oh, I’m having the nicest time. You guys are like family to me. You know that, right?",Raj,6.0,1.0,The Date Night Variable
 That’s great. Get out.,Leonard,6.0,1.0,The Date Night Variable
 What? Why?,Raj,6.0,1.0,The Date Night Variable
 Penny and I have some issues we need to talk about.,Leonard,6.0,1.0,The Date Night Variable
" Oh pish on your issues. You guys are fine. Yes, you hit some bumps along the way. I mean, Penny, you’ve always known how this man has felt about you, but you made him grovel for affection.",Raj,6.0,1.0,The Date Night Variable
" Okay, hold on…",Penny,6.0,1.0,The Date Night Variable
" Now, don’t blame yourself. He was a groveller from way back. But the point is, the two of you got past it. And, Leonard, you go and propose to this poor girl in the middle of sex? That was some weak tea, dude.",Raj,6.0,1.0,The Date Night Variable
 Some people might say it was romantic.,Leonard,6.0,1.0,The Date Night Variable
" Yeah, no. But yet, here you two are, still together. And that’s even after you and I had our crazy naked night.",Raj,6.0,1.0,The Date Night Variable
 Okay.,Leonard,6.0,1.0,The Date Night Variable
 That’s enough.,Penny,6.0,1.0,The Date Night Variable
" I’m just saying that after everything you’ve been through, you get to look into each other’s eyes and say “I love you.” And that’s beautiful.",Raj,6.0,1.0,The Date Night Variable
" Actually, to this day, she’s never really said it.",Leonard,6.0,1.0,The Date Night Variable
" Oh, Penny. That’s ridiculous. You know you love him. You, you look him in the eyes and you say it. ",Raj,6.0,1.0,The Date Night Variable
 Raj.,Penny,6.0,1.0,The Date Night Variable
" Oh come on, you know you want to say it. Say it. Say you love him. Say it!",Raj,6.0,1.0,The Date Night Variable
 The hallway. Raj is ejected from the apartment.,Scene,6.0,1.0,The Date Night Variable
 I really thought she would say it.,Raj,6.0,1.0,The Date Night Variable
 The restaurant.,Scene,6.0,1.0,The Date Night Variable
 Have I ever told you you’re like a sexy praying mantis? ,Amy,6.0,1.0,The Date Night Variable
 Every time you drink alcohol.,Sheldon,6.0,1.0,The Date Night Variable
 You know what’s wonderful about the praying mantis? They devour their mate.,Amy,6.0,1.0,The Date Night Variable
 Your point being?,Sheldon,6.0,1.0,The Date Night Variable
 Dessert is served.,Amy,6.0,1.0,The Date Night Variable
 I just had cobbler.,Sheldon,6.0,1.0,The Date Night Variable
 You know what? I’m done with this.,Amy,6.0,1.0,The Date Night Variable
 W-Where are you going?,Sheldon,6.0,1.0,The Date Night Variable
 I’m leaving.,Amy,6.0,1.0,The Date Night Variable
 You can’t leave. I need you.,Sheldon,6.0,1.0,The Date Night Variable
 You do?,Amy,6.0,1.0,The Date Night Variable
 Yes. You’re my ride.,Sheldon,6.0,1.0,The Date Night Variable
" Sheldon, you either say something meaningful and from the heart, or you and I are done.",Amy,6.0,1.0,The Date Night Variable
" All right. Please. Amy, when I look in your eyes and you’re looking back in mine, everything feels not quite normal, because I feel stronger and weaker at the same time. I feel excited and, at the same time, terrified. The truth is, I don’t know what I feel, except I know what kind of man I want to be.",Sheldon,6.0,1.0,The Date Night Variable
" Sheldon, that was beautiful.",Amy,6.0,1.0,The Date Night Variable
 I should hope so. That’s from the first Spider-Man movie.,Sheldon,6.0,1.0,The Date Night Variable
 I’ll take it.,Amy,6.0,1.0,The Date Night Variable
" Good. Now, I assume we’re splitting the cheque?",Sheldon,6.0,1.0,The Date Night Variable
 The Comic Book Store.,Scene,6.0,1.0,The Date Night Variable
" Hey, Stuart.",Raj,6.0,1.0,The Date Night Variable
" Oh, hey. I was actually just about to close up.",Stuart,6.0,1.0,The Date Night Variable
" Oh, I’m sorry. I’ll leave.",Raj,6.0,1.0,The Date Night Variable
" No, no. It’s okay. Hang out. ",Stuart,6.0,1.0,The Date Night Variable
 You sure?,Raj,6.0,1.0,The Date Night Variable
" Yeah, you’re my first customer today.",Stuart,6.0,1.0,The Date Night Variable
 All right. Great.,Raj,6.0,1.0,The Date Night Variable
" I’m, uh, having a nightcap. You want to join me?",Stuart,6.0,1.0,The Date Night Variable
 What are you drinking?,Raj,6.0,1.0,The Date Night Variable
 Coffee liqueur in a Chewbacca mug. I call it a sad-tini.,Stuart,6.0,1.0,The Date Night Variable
 Perfect for the night I’m having. Thank you.,Raj,6.0,1.0,The Date Night Variable
 Hmm. Nice not to drink alone.,Stuart,6.0,1.0,The Date Night Variable
 Amen to that. Sometimes I pour a little chardonnay into my dog’s water bowl.,Raj,6.0,1.0,The Date Night Variable
 You’re kidding.,Stuart,6.0,1.0,The Date Night Variable
" She’s kind of a mean drunk, but what are you gonna do?",Raj,6.0,1.0,The Date Night Variable
 Cheers.,Stuart,6.0,1.0,The Date Night Variable
 Cheers.,Raj,6.0,1.0,The Date Night Variable
 A little music?,Stuart,6.0,1.0,The Date Night Variable
 Sure. Mmm. Bossa nova. You listen to that with your hips as well as your ears.,Raj,6.0,1.0,The Date Night Variable
 Mmm.,Stuart,6.0,1.0,The Date Night Variable
 Oh. Something about latin music just makes me feel like I’m on a white sand beach in Rio.,Raj,6.0,1.0,The Date Night Variable
" Yeah. The sun, the waves, the beautiful bodies, tanned and glistening with sweat.",Stuart,6.0,1.0,The Date Night Variable
 I should go.,Raj,6.0,1.0,The Date Night Variable
 Yeah.,Stuart,6.0,1.0,The Date Night Variable
" Uh, thank you for the drink.",Raj,6.0,1.0,The Date Night Variable
 No problem.,Stuart,6.0,1.0,The Date Night Variable
" Hey, Stuart.",Raj,6.0,1.0,The Date Night Variable
 Yeah?,Stuart,6.0,1.0,The Date Night Variable
" Do you want to hang out tomorrow night, maybe grab a bite to eat or catch a late movie?",Raj,6.0,1.0,The Date Night Variable
" Yeah, I-I’d like to, but I’m a little tight on funds.",Stuart,6.0,1.0,The Date Night Variable
 No problem. My treat. I’ll swing by after work.,Raj,6.0,1.0,The Date Night Variable
 Okay.,Stuart,6.0,1.0,The Date Night Variable
 Okay.,Raj,6.0,1.0,The Date Night Variable
 I could do worse.,Stuart,6.0,1.0,The Date Night Variable
 The International Space Station,Scene,6.0,1.0,The Date Night Variable
" Aw, that’s such good news, Howie. Thank you for telling her.",Bernadette,6.0,1.0,The Date Night Variable
" Hey, I’m a grown man. I’m gonna live with my wife. My mother’s just gonna have to learn to make do on her own.",Howard,6.0,1.0,The Date Night Variable
 Was she upset?,Bernadette,6.0,1.0,The Date Night Variable
 Who can tell? She yells everything. She might have been upset. She might have been hungry.,Howard,6.0,1.0,The Date Night Variable
 Thanks for fixing it. I love you.,Bernadette,6.0,1.0,The Date Night Variable
" I love you, too. Sweet dreams. I’ll talk to you tomorrow?",Howard,6.0,1.0,The Date Night Variable
" Good night, Rocket Man.",Bernadette,6.0,1.0,The Date Night Variable
" To infinity and beyond, baby.",Howard,6.0,1.0,The Date Night Variable
 Loops. You realize you just lied your ass off to your wife and your mother.,Dimitri,6.0,1.0,The Date Night Variable
 I know.,Howard,6.0,1.0,The Date Night Variable
 What are you gonna do when you get back to Earth?,Dimitri,6.0,1.0,The Date Night Variable
" Oh, I’m never going back.",Howard,6.0,1.0,The Date Night Variable
" Hey, there’s my beautiful bride. Can you see me?",Howard,6.0,1.0,The Date Night Variable
 I can. How are you?,Bernadette,6.0,1.0,The Date Night Variable
" I’m amazing. I mean, this is even better than I dreamed. I look out the window, and it’s all so unbelievable.",Howard,6.0,1.0,The Date Night Variable
 Good for you. I just had a seemingly endless dinner with your mom.,Bernadette,6.0,1.0,The Date Night Variable
" Oh, yeah? That’s nice.",Howard,6.0,1.0,The Date Night Variable
 It was. Until I found out you never told her we’re not gonna live with her. Let’s talk about that for a minute.,Bernadette,6.0,1.0,The Date Night Variable
" Hey, look, this pen is floating. How crazy is that?",Howard,6.0,1.0,The Date Night Variable
" You said you told her, but you never did!",Bernadette,6.0,1.0,The Date Night Variable
