dialogue,person_scene,series,episode,episode_name_only
 All right. Pass the soy sauce.,Penny,4.0,1.0,The Robotic Manipulation
 Mostly with Asian and Jewish astronauts.,Howard,4.0,1.0,The Robotic Manipulation
" Oh, does that come up much on the space station?",Penny,4.0,1.0,The Robotic Manipulation
 Ask me to pass the soy sauce.,Howard,4.0,1.0,The Robotic Manipulation
" Ah, cool.",Penny,4.0,1.0,The Robotic Manipulation
" That, dear lady, is the Wolowitz Programmable Hand, designed for extravehicular repairs on the International Space Station.",Howard,4.0,1.0,The Robotic Manipulation
 Hey. Is the food here? Ooh. What’s that?,(arriving),4.0,1.0,The Robotic Manipulation
 No one ever does. That’s why it happens.,Sheldon,4.0,1.0,The Robotic Manipulation
" I don’t think that’s going to happen, Sheldon.",Leonard,4.0,1.0,The Robotic Manipulation
" Today, it’s a Chinese food retrieval robot. Tomorrow, it travels back in time and tries to kill Sarah Connor.",Sheldon,4.0,1.0,The Robotic Manipulation
 Why?,Howard,4.0,1.0,The Robotic Manipulation
" Impressive, but we must be cautious.",Sheldon,4.0,1.0,The Robotic Manipulation
 And it only took 28 minutes.,Raj,4.0,1.0,The Robotic Manipulation
" Ah, there you have it, gentlemen. Our entire dinner unpacked by robot.",Howard,4.0,1.0,The Robotic Manipulation
 Whoo-hoo!,Raj,4.0,1.0,The Robotic Manipulation
" Yes, exactly. Consequently, if Amy and I choose to bring new life into this world, it will be accomplished clinically, with fertility experts in a lab with petri dishes. Which reminds me, you have broad hips and a certain corn-fed vigour. Is your womb available for rental?",Sheldon,4.0,1.0,The Robotic Manipulation
 Huh. It would appear as if the phone companies have been lying to me.,Sheldon,4.0,1.0,The Robotic Manipulation
 Probably not.,Penny,4.0,1.0,The Robotic Manipulation
 Oh. I hadn’t considered that. I suppose she will have to have access to our progeny. And you don’t think I can achieve the required intimacy via text messaging?,Sheldon,4.0,1.0,The Robotic Manipulation
" Okay, look, don’t think of it as dating a girlfriend. Think of it as, uh, getting to know the future mother of your child.",Penny,4.0,1.0,The Robotic Manipulation
 She’s not my girlfriend.,Sheldon,4.0,1.0,The Robotic Manipulation
 Why not?,Penny,4.0,1.0,The Robotic Manipulation
 I can’t date Amy.,Sheldon,4.0,1.0,The Robotic Manipulation
 Yeah.,Penny,4.0,1.0,The Robotic Manipulation
 You mean dating?,Sheldon,4.0,1.0,The Robotic Manipulation
" Look, Sheldon, before you race off to the fertility clinic, you might want to think about, uh gee, I don’t know, maybe actually spending some time with her.",Penny,4.0,1.0,The Robotic Manipulation
 Still digging the Shamy?,Leonard,4.0,1.0,The Robotic Manipulation
" And finally, my moo shu pork.",Howard,4.0,1.0,The Robotic Manipulation
 Smooth.,Raj,4.0,1.0,The Robotic Manipulation
 Alright.,Leonard,4.0,1.0,The Robotic Manipulation
 And now the kung pao chicken.,Howard,4.0,1.0,The Robotic Manipulation
 Coming up. (Starts typing rapidly),Howard,4.0,1.0,The Robotic Manipulation
 You’re welcome.,Penny,4.0,1.0,The Robotic Manipulation
 Thank you for driving me.,Sheldon,4.0,1.0,The Robotic Manipulation
 Penny’s car.,Scene,4.0,1.0,The Robotic Manipulation
" I’ll eat later. I’m busy! Oh, yeah. Just like a real hand. Hmm.",Howard,4.0,1.0,The Robotic Manipulation
" Howard, dinner’s ready!",(off),4.0,1.0,The Robotic Manipulation
" Oh, God, that feels so good. Yeah, that’s the spot. Oh, baby.",Howard,4.0,1.0,The Robotic Manipulation
 Howard’s bedroom. Howard is being massaged by the robot hand.,Scene,4.0,1.0,The Robotic Manipulation
 Let me get my cockamamie keys.,Penny,4.0,1.0,The Robotic Manipulation
 So this conversation is as pointless as your door-knocking soliloquy?,Sheldon,4.0,1.0,The Robotic Manipulation
" Well, no, not per se, but…",Penny,4.0,1.0,The Robotic Manipulation
 I’m sorry. Do you have other plans?,Sheldon,4.0,1.0,The Robotic Manipulation
" Sheldon, did it ever occur to you that I might have other plans?",Penny,4.0,1.0,The Robotic Manipulation
 Hurry. We’re going to be late.,Sheldon,4.0,1.0,The Robotic Manipulation
 Now?,Penny,4.0,1.0,The Robotic Manipulation
 Now.,Sheldon,4.0,1.0,The Robotic Manipulation
" Okay, fine. When’s the date?",Penny,4.0,1.0,The Robotic Manipulation
" You know, there’s something I’ve always wondered about Aquaman.",Raj,4.0,1.0,The Robotic Manipulation
 The apartment.,Scene,4.0,1.0,The Robotic Manipulation
 Fair point.,Penny,4.0,1.0,The Robotic Manipulation
" If you know so much, how come I have a date tonight and you have nothing better to do than drive me to it?",Sheldon,4.0,1.0,The Robotic Manipulation
" My point is, I know more about dating than you, and if you were as smart as you think you are, you would listen to me.",Penny,4.0,1.0,The Robotic Manipulation
" I have a master’s degree and two doctorates. The things I should know, I do know.",Sheldon,4.0,1.0,The Robotic Manipulation
" Okay. Well, then, there’s a couple of things you should probably know.",Penny,4.0,1.0,The Robotic Manipulation
