dialogue,person_scene,series,episode,episode_name_only
" Opening shows some scenes from the final episode of the previous season, followed by the caption “Three months later.” Scene then opens in lobby, with the guys arriving home from the North Pole. All have long hair and bushy beards except Sheldon, whose hair is slightly longer and who has a goatee. ",Scene,3.0,1.0,The Electric Can Opener Fluctuation
" Because when he wasn’t happy, we wanted to kill him. There was even a plan. We were going to throw his Kindle outside, and when he went to get it, lock the door and let him freeze to death.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
 Oh. Sorry. I don’t know your sad song.,Penny,3.0,1.0,The Electric Can Opener Fluctuation
 I don’t have a sad song. I’m not a child.,Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
" Well, you know, I do understand what you’re going through.",Penny,3.0,1.0,The Electric Can Opener Fluctuation
 Really? Did you just have the Nobel Prize in waitressing stolen from you?,Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
" Well, no, but when I was a senior in high school, one of my friends heard I was going to be named head cheerleader. Oh, I was so excited. My mom even made me a celebration pie. Then they named stupid Valerie Mossbacher head cheerleader. Big ol’ slutbag.",Penny,3.0,1.0,The Electric Can Opener Fluctuation
 Are you saying that you think a celebration pie is even remotely comparable to a Nobel Prize?,Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
" Well, they’re pretty tasty.",Penny,3.0,1.0,The Electric Can Opener Fluctuation
" And on a different, but not unrelated topic, based on your current efforts to buoy my spirits, do you truly believe that you were ever fit to be a cheer leader?",Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
" Look, Sheldon, I just don’t think that the guys and Leonard really meant to hurt you. You know? They just told an unfortunate lie to deal with a difficult situation. Okay, you know what it’s like? Remember that scene in the new Star Trek movie when Kirk has to take over the ship, so he tells Spock all that stuff he knew wasn’t true, like saying Spock didn’t care his mom died?",Penny,3.0,1.0,The Electric Can Opener Fluctuation
 I missed Comic-Con and the new Star Trek movie!,Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
 The university cafeteria. The guys have shaved and had haircuts. Howard has kept his moustache.,Scene,3.0,1.0,The Electric Can Opener Fluctuation
 I like the new look.,Raj,3.0,1.0,The Electric Can Opener Fluctuation
 Thanks. I call it the Clooney.,Howard,3.0,1.0,The Electric Can Opener Fluctuation
" I call it the Mario and Luigi, but whatever. Hey, how’s Sheldon doing?",Raj,3.0,1.0,The Electric Can Opener Fluctuation
" Well, he came out of his room this morning wearing his Darth Vader helmet and tried to choke me to death with the Force, so I’d say, a little better.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" If I may abruptly change the subject, did you and Penny finally… you know.",Howard,3.0,1.0,The Electric Can Opener Fluctuation
 Howard…,Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Personally, I don’t care, but my genitals wanted me to ask.",Howard,3.0,1.0,The Electric Can Opener Fluctuation
" Well, tell your genitals what I do with Penny is none of their business.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
 He says they didn’t do it.,genitals),3.0,1.0,The Electric Can Opener Fluctuation
" Sheldon, over here. (Sheldon sits at another table and tries to choke all three to death with the force. Raj pretends he is choking.) ",entering),3.0,1.0,The Electric Can Opener Fluctuation
 What are you doing?,Howard,3.0,1.0,The Electric Can Opener Fluctuation
 I feel bad for the guy.,Raj,3.0,1.0,The Electric Can Opener Fluctuation
" Sheldon, why are you sitting by yourself?",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Because I am without friends. Like the proverbial cheese, I stand alone. Even while seated.",Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
 Come on. We said we were sorry.,Leonard,3.0,1.0,The Electric Can Opener Fluctuation
 It’s going to take more than I’m sorry and a store-bought apology pie from Penny to make up for what you’ve done to me.,Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
" Hey, Cooper. Wead your wetwaction e-mail. Way to destroy your weputation.",(arriving),3.0,1.0,The Electric Can Opener Fluctuation
 You see? People have been pointing and laughing at me all morning.,Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
 That’s not twue. People have been pointing and waughing at you your whole wife.,Kripke,3.0,1.0,The Electric Can Opener Fluctuation
" All right, I’ve had enough. Attention, everyone. I’ m Dr. Sheldon Cooper. As many of you in the physics department might know, my career trajectory has taken a minor detour.",Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
 Off a cwiff.,Kripke,3.0,1.0,The Electric Can Opener Fluctuation
 My credibility may have been damaged…,Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
 Compwetely wecked.,Kripke,3.0,1.0,The Electric Can Opener Fluctuation
" But I would like to remind you that in science, there’s no such thing as failure. There once was a man who referred to his prediction of a cosmological constant as the single biggest blunder of his career. That man’s name was, surprise, surprise, Albert Einstein.",Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
" Yeah, but wesearch into Dark Energy pwoved that Einstein’s cosmowogical constant was actually wight all along, so you’re still, surpwise, surpwise, a woser.",Kripke,3.0,1.0,The Electric Can Opener Fluctuation
" Oh, you think you’re so clever. Well, let me just tell you, while I do not currently have a scathing retort, you check your e-mail periodically for a doozy.",Sheldon,3.0,1.0,The Electric Can Opener Fluctuation
 So much for our friendship with Sheldon.,Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Well, we’ll always have the night the heat went out.",Raj,3.0,1.0,The Electric Can Opener Fluctuation
 Penny’s apartment.,Scene,3.0,1.0,The Electric Can Opener Fluctuation
 Hi.,Penny,3.0,1.0,The Electric Can Opener Fluctuation
" Hey. Listen, since we got, you know, interrupted last night, I didn’t have a chance to give you this.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Oh, Leonard, you shouldn’t have. Oh, boy! What is it?",Penny,3.0,1.0,The Electric Can Opener Fluctuation
 It’s a snowflake. From the North Pole.,Leonard,3.0,1.0,The Electric Can Opener Fluctuation
 Are you serious?,Penny,3.0,1.0,The Electric Can Opener Fluctuation
 Uh-huh. It’ll last forever. I preserved it in a one percent solution of polyvinyl acetal resin.,Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Oh, my God. That’s the most romantic thing anyone’s ever said to me that I didn’t understand.",Penny,3.0,1.0,The Electric Can Opener Fluctuation
" It’s actually a pretty simple process. You see, cyanoacrylate are monomers which polymerize on… (she kisses him) ",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Red alert, Leonard. Sheldon ran away.",(arriving),3.0,1.0,The Electric Can Opener Fluctuation
" Man, I can not catch a break.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" So, how do you know he ran away?",Penny,3.0,1.0,The Electric Can Opener Fluctuation
" Well, he’s not answering his phone, he handed in his resignation at the university and he sent me a text that said, I’m running away.",Howard,3.0,1.0,The Electric Can Opener Fluctuation
" Okay, well, thanks for letting me know.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Well, Leonard, aren’t you going to do something?",Penny,3.0,1.0,The Electric Can Opener Fluctuation
" Of course I’m going to do something. Uh, Howard, you check the comic book store. Raj, go to the Thai restaurant. I’ll stay here with Penny in her apartment. (His phone rings) Oh, damn it. It’s Sheldon’s mother. A break cannot be caught. Hi, Mrs. Cooper. He is? Sheldon went home to Texas. Yeah, no, I know he resigned. Yes, I guess it kind of is our fault. No, no, no, you, you’re right, someone needs to come talk to him. Don’t worry, I’ll take care of it. Yeah. All right. New plan. Howard, you and Raj go to Texas. I’ll stay here with Penny in her apartment.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Well, you’re not gonna go with them?",Penny,3.0,1.0,The Electric Can Opener Fluctuation
" Well, you know, I gave you the snowflake and we were kissing and… Oh, come on, I don’t want to go to Texas!",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Oh, right, and I do? My people already crossed a desert once, we’re done.",Howard,3.0,1.0,The Electric Can Opener Fluctuation
" Trust me, you’ll be fine. See ya.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
" Well, wait a second, Leonard, come on, how can you not go? He’s your best friend.",Penny,3.0,1.0,The Electric Can Opener Fluctuation
" Yeah, but I already saw him naked. Just come here.",Leonard,3.0,1.0,The Electric Can Opener Fluctuation
 No. I promise I will be here when you get back. Just go help Sheldon.,Penny,3.0,1.0,The Electric Can Opener Fluctuation
 Really?,Leonard,3.0,1.0,The Electric Can Opener Fluctuation
